no,,性別,年齡,目前婚姻狀態,進修博士時婚姻狀態,,決定進修博士時婚姻與子女狀態,入學年齡,畢業年齡,,,,是否曾休學,,學校類型,,博士與碩士學校是否相同,就讀科系,,博士與碩士學位相關度,,就學身分,就讀博士時是全職/在職學生,,,,,,,,,就讀博士的首要動機為?,,,,您對博士修業整體滿意度為?,,,,,目前就業情況為?,工作類型,此工作為?,,目前工作的機構別為?,,目前工作的職業別為?,,您對目前工作的滿意度為何?,您目前的工作與您當初獲得博士學位時原有規劃之職涯機構別與職業別是否符合?,,,,,整體而言，您認為您的博士學位效益如何?
4823,,1,2,1,1,,2,1,2,,,,2,,1,,1,10,,1,,1,2,,,,,,,,,4,,,,2,,,,,1,1,4,,5,,52, ,2,2,,,,,2
3762,,1,4,2,1,,2,1,2,,,,2,,1,,2,40,,1,,2,2,,,,,,,,,3,,,,2,,,,,1,2,2,,5,,52, ,1,1,,,,,1
3531,,1,4,2,1,,2,1,2,,,,2,,1,,1,29,,1,,1,2,,,,,,,,,1,,,,1,,,,,1,1,4,,5,,54, ,2,1,,,,,1
1906,,1,4,2,1,,2,1,2,,,,2,,1,,1,56,,1,,1,2,,,,,,,,,1,,,,2,,,,,1,1,4,,5,,53, ,1,2,,,,,3
1893,,1,4,2,1,,2,1,2,,,,2,,1,,2,15,,1,,1,2,,,,,,,,,1,,,,5,,,,,1,2,4,,5,,52, ,3,2,,,,,4
2341,,1,4,2,1,,2,1,2,,,,2,,1,,1,15,,1,,2,2,,,,,,,,,1,,,,2,,,,,1,1,3,,5,,52, ,2,1,,,,,2
419,,1,4,2,1,,2,1,2,,,,2,,1,,1,15,,1,,2,2,,,,,,,,,1,,,,2,,,,,1,1,3,,5,,52, ,2,1,,,,,2
3802,,1,4,1,1,,2,1,2,,,,2,,1,,2,40,,1,,2,2,,,,,,,,,1,,,,3,,,,,1,1,4,,5,,52, ,2,1,,,,,1
1365,,1,3,2,1,,2,1,2,,,,2,,1,,2,15,,1,,1,2,,,,,,,,,1,,,,3,,,,,1,1,4,,5,,52, ,2,1,,,,,2
4345,,2,3,2,1,,2,1,2,,,,2,,1,,2,15,,3,,2,2,,,,,,,,,1,,,,5,,,,,1,2,4,,5,,52, ,4,2,,,,,5
3865,,1,2,1,1,,2,1,2,,,,2,,1,,1,15,,1,,2,2,,,,,,,,,1,,,,2,,,,,1,2,4,,5,,52, ,3,1,,,,,3
3452,,1,2,2,1,,2,1,2,,,,2,,5,,1,47,,1,,1,2,,,,,,,,,1,,,,3,,,,,1,2,4,,5,,52, ,1,1,,,,,2
2386,,1,4,2,2,,4,2,3,,,,2,,7,,2,15,,2,,1,2,,,,,,,,,1,,,,2,,,,,1,1,2,,5,,51, ,2,1,,,,,1
1992,,1,4,1,1,,2,1,2,,,,2,,1,,1,11,,1,,1,2,,,,,,,,,1,,,,3,,,,,1,1,4,,4,,41,創辦人,2,1,,,,,2
4680,,2,4,1,1,,2,1,3,,,,1,,1,,2,41,,1,,2,2,,,,,,,,,4,,,,3,,,,,1,1,4,,4,,41,專案經理,2,2,,,,,3
4125,,1,2,2,2,,3,1,1,,,,2,,1,,2,21,,1,,1,2,,,,,,,,,8,,,,5,,,,,1,1,4,,4,,43,作業員,6,2,,,,,5
14,,2,4,2,2,,3,1,2,,,,1,,3,,1,73,,1,,2,2,,,,,,,,,4,,,,3,,,,,1,1,4,,4,,41,企業主,2,2,,,,,2
592,,1,4,2,1,,2,1,2,,,,2,,1,,1,11,,2,,1,2,,,,,,,,,1,,,,1,,,,,1,1,3,,4,,41,企業主,1,1,,,,,1
3689,,1,3,1,1,,2,1,2,,,,2,,2,,2,39,,3,,1,2,,,,,,,,,9,,,,3,,,,,1,1,3,,4,,42,工程師,4,2,,,,,2
4631,,2,2,2,1,,2,1,2,,,,1,,2,,1,27,,1,,1,2,,,,,,,,,9,,,,4,,,,,1,1,1,,4,,41, ,3,2,,,,,5
